chr	start	end	strand
chr1	6349088	6350145	+
chr1	6352151	6353792	+
chr1	6354289	6355754	-
chr1	6356145	6356763	-
chr1	6360507	6360815	+
chr1	6365436	6367435	-
chr1	6367902	6368144	-
chr1	6371221	6371667	+
chr1	6373421	6373885	+
chr1	6380308	6380743	+
chr1	6381642	6382588	+
chr1	6386462	6386860	+
chr1	6391990	6392452	+
chr1	6397462	6397839	+
chr1	6399686	6400304	+
chr1	6401794	6402358	+
chr1	6404496	6404940	+
chr1	6408012	6413099	-
chr1	6414597	6415335	-
chr1	6418321	6421234	-
chr1	6444059	6444371	+
chr1	6451108	6454475	+
chr1	6455173	6456971	-
chr1	6460543	6462595	-
chr1	6465261	6465707	+
chr1	6473167	6473574	+
chr1	6480098	6480693	-
chr1	6484339	6484881	+
chr1	6490267	6491807	-
chr1	6494623	6499298	+
chr1	6499545	6499925	-
chr1	6510859	6513589	+
chr1	6514328	6516350	-
chr1	6524171	6525578	-
chr1	6531951	6533109	+
chr1	6533315	6535218	-
chr1	6547269	6547886	-
chr1	6554491	6555078	-
chr1	6556977	6557448	-
chr1	6560074	6562540	-
chr1	6567196	6568540	-
chr1	6569686	6571874	-
chr1	6572208	6575956	+
chr1	6576778	6578965	-
chr1	6579560	6580112	-
chr1	6582135	6582779	-
chr1	6585271	6590983	-
chr1	6597232	6597498	+
chr1	6599940	6600529	+
chr1	6600706	6600999	-
chr1	6607491	6607780	-
chr1	6612651	6613726	+
chr1	6614598	6615757	-
chr1	6616989	6619040	-
chr1	6619474	6619719	+
chr1	6622282	6622907	-
chr1	6634925	6636093	+
chr1	6640864	6645395	-
chr1	6649070	6653477	+
chr1	6657891	6658760	+
chr1	6660653	6661864	+
chr1	6663288	6663797	+
chr1	6665098	6665429	-
chr1	6668352	6669892	+
chr1	6674464	6676481	+
chr1	6678523	6678783	-
chr1	6682309	6685084	-
chr1	6690905	6691054	+
chr1	6693580	6693882	-
chr1	6694668	6694868	-
chr1	6695652	6702680	+
chr1	6703088	6703336	+
chr1	6705506	6705940	+
chr1	6706868	6710541	+
chr1	6713694	6723589	+
chr1	6724757	6725851	+
chr1	6726810	6728211	+
chr1	6728365	6730300	-
chr1	6741232	6751228	+
chr1	6751919	6752874	-
chr1	6754215	6755195	-
chr1	6758311	6759437	-
chr1	6763280	6764988	-
chr1	6778318	6779478	+
chr1	6782979	6783559	-
chr1	6789626	6792153	-
chr1	6809895	6810801	+
chr1	6829830	6838267	+
chr1	6838580	6841222	-
chr1	6841987	6842869	+
chr1	6843241	6843619	+
chr1	6849814	6939056	+
chr1	6944674	6947222	-
chr1	6957570	6958125	+
chr1	6960467	6960991	-
chr1	6970467	6971490	-
chr1	6976789	6977007	-
chr1	6983591	6984195	-
chr1	6986225	6986530	-
chr1	6987102	6987266	-
chr1	6993468	6998217	+
chr1	7006045	7007074	+
chr1	7012917	7013452	+
chr1	7028437	7032646	+
chr1	7035170	7035745	+
chr1	7040383	7042913	-
chr1	7053795	7054260	-
chr1	7064850	7070421	-
chr1	7072275	7072649	+
chr1	7082964	7084559	+
chr1	7093309	7096010	+
chr1	7096348	7096701	+
chr1	7100903	7102502	+
chr1	7109517	7111571	+
chr1	7114555	7116921	-
chr1	7117987	7124400	-
chr1	7127585	7129355	-
chr1	7137004	7159300	+
chr1	7164170	7168316	+
chr1	7177964	7178680	-
chr1	7180589	7183678	-
chr1	7192053	7192367	-
chr1	7196393	7198598	+
chr1	7208248	7209995	-
chr1	7246564	7251587	+
chr1	7254365	7259586	+
chr1	7264393	7269823	+
chr1	7271025	7273397	-
chr1	7275871	7277866	-
chr1	7284236	7288076	-
chr1	7293457	7294488	+
chr1	7295323	7298105	-
chr1	7300778	7316686	-
chr1	7327757	7330669	+
chr1	7331032	7334198	-
chr1	7337057	7341861	+
chr1	7344190	7344771	-
chr1	7348352	7348633	-
chr1	7355766	7356276	+
chr1	7358814	7359378	-
chr1	7363859	7366327	-
chr1	7372280	7385846	+
chr1	7390744	7390992	+
chr1	7394548	7395105	+
chr1	7397097	7402769	+
chr1	7406195	7407420	+
chr1	7409407	7410960	+
chr1	7412190	7415561	-
chr1	7417581	7422652	-
chr1	7438298	7443370	-
chr1	7447486	7449144	+
chr1	7473659	7473927	-
chr1	7474959	7478993	-
chr1	7484827	7487573	-
chr1	7487765	7488125	+
chr1	7491082	7495099	+
chr1	7503328	7506050	-
chr1	7507902	7508926	-
chr1	7521410	7522861	+
chr1	7527557	7529340	+
chr1	7530664	7536316	+
chr1	7539325	7541067	+
chr1	7540915	7546143	-
chr1	7559711	7561050	-
chr1	7581008	7582319	+
chr1	7583371	7585046	+
chr1	7587207	7587560	+
chr1	7592791	7597051	+
chr1	7605310	7605682	+
chr1	7606322	7608578	-
chr1	7615189	7616105	+
chr1	7616162	7620946	-
chr1	7623190	7623676	-
chr1	7636885	7637523	-
chr1	7649036	7649404	+
chr1	7649911	7655799	-
chr1	7659617	7660741	-
chr1	7663738	7667267	+
chr1	7667648	7670534	-
chr1	7681561	7681749	+
chr1	7682224	7682800	-
chr1	7686834	7687430	-
chr1	7689111	7691929	-
chr1	7694552	7695907	+
chr1	7696702	7697635	-
chr1	7700741	7705322	-
chr1	7709641	7710116	-
chr1	7711580	7715032	-
chr1	7720711	7723734	-
chr1	7741993	7742914	+
chr1	7749959	7750870	+
chr1	7758492	7763213	+
chr1	7772338	7772708	+
chr1	7781701	7782112	+
chr1	7787115	7791725	-
chr1	7805179	7806938	-
chr1	7809999	7814706	-
chr1	7825035	7825502	-
chr1	7832978	7834594	-
chr1	7854791	7919873	-
chr1	7941107	7941316	-
chr1	7941824	7944348	-
chr1	7954734	7956861	-
chr1	7970079	7971206	-
chr1	7975924	7976115	+
chr1	7977329	7977532	-
chr1	7992096	7992847	-
chr1	7996606	7998218	-
chr1	8017188	8018037	+
chr1	8019404	8021265	+
chr1	8026256	8027176	-
chr1	8039567	8041062	+
chr1	8044323	8045108	+
chr1	8049862	8051345	+
chr1	8055626	8057287	+
chr1	8058273	8062429	-
chr1	8065418	8065910	-
chr1	8084193	8084969	+
chr1	8085334	8088038	-
chr1	8090835	8091125	+
chr1	8099275	8101764	-
chr1	8108474	8112288	-
chr1	8115878	8116357	-
chr1	8133742	8139503	+
chr1	8143582	8145513	-
chr1	8168875	8171369	-
chr1	8185406	8186872	-
chr1	8190183	8190491	-
chr1	8194762	8195285	-
chr1	8213115	8214129	+
chr1	8219018	8219408	-
chr1	8219951	8220619	-
chr1	8223308	8224087	-
chr1	8237913	8242197	+
chr1	8242617	8243453	-
chr1	8244051	8246030	-
chr1	8256589	8257442	-
chr1	8260042	8260323	+
chr1	8261417	8262691	-
chr1	8272135	8272383	+
chr1	8273146	8275452	+
chr1	8275943	8278225	-
chr1	8283553	8283955	-
chr1	8286646	8289833	+
chr1	8294466	8295090	-
chr1	8300470	8303007	+
chr1	8314619	8315073	+
chr1	8322002	8322891	-
chr1	8329766	8331574	-
chr1	8336496	8338112	-
chr1	8342166	8342682	+
chr1	8356659	8357664	-
chr1	8362266	8363416	+
chr1	8373063	8373593	-
chr1	8390385	8390701	+
chr1	8392351	8393072	+
chr1	8412167	8417597	-
chr1	8455679	8460058	+
chr1	8477135	8495459	+
chr1	8522383	8523727	-
chr1	8552577	8560315	+
chr1	8560796	8561708	+
chr1	8573976	8575658	+
chr1	8601779	8602652	-
chr1	8604560	8610520	-
chr1	8639109	8642859	+
chr1	8646778	8649347	+
chr1	8655023	8656395	+
chr1	8674589	8675923	-
chr1	8717396	8717809	+
chr1	8720770	8722926	+
chr1	8723371	8724247	-
chr1	8730452	8736301	-
chr1	8792958	8793556	-
chr1	8798454	8799555	-
chr1	8801557	8802006	-
chr1	8812156	8813141	-
chr1	8816775	8817486	-
chr1	8842470	8866056	+
chr1	8859191	8859454	-
chr1	8873218	8875270	+
chr1	8894562	8896307	-
chr1	8900295	8900456	+
chr1	8901040	8903128	-
chr1	8913469	8915543	+
chr1	8917060	8917379	-
chr1	8923072	8931750	-
chr1	8941299	8944470	+
chr1	8961973	8963718	-
chr1	8964638	8965221	-
chr1	8983436	8984473	-
chr1	8987776	8988289	+
chr1	8993629	9000426	-
chr1	9016875	9018548	+
chr1	9020451	9023430	-
chr1	9026681	9027878	+
chr1	9031543	9033818	-
chr1	9040395	9044190	-
chr1	9052960	9053598	+
chr1	9054405	9056999	+
chr1	9062777	9065145	-
chr1	9069602	9069946	+
chr1	9077424	9079153	-
chr1	9085069	9086545	+
chr1	9090352	9090687	-
chr1	9103260	9103622	-
chr1	9108665	9111579	-
chr1	9119399	9120897	+
chr1	9129236	9129496	+
chr1	9130710	9131125	+
chr1	9132616	9133349	+
chr1	9134136	9135336	+
chr1	9139447	9139682	+
chr1	9144956	9145180	-
chr1	9154358	9156385	+
chr1	9159869	9160288	-
chr1	9163193	9165790	+
chr1	9175034	9175879	+
chr1	9178355	9179176	+
chr1	9179683	9180286	+
chr1	9191462	9194033	+
chr1	9199478	9202076	+
chr1	9205538	9205948	+
chr1	9207488	9209166	+
chr1	9209764	9216444	+
chr1	9218226	9218429	-
chr1	9225998	9227936	-
chr1	9229080	9229529	-
chr1	9229994	9230781	-
chr1	9231393	9232138	-
chr1	9242847	9244149	-
chr1	9263205	9264112	+
chr1	9280164	9281699	-
chr1	9305136	9314621	+
chr1	9318706	9319792	-
chr1	9332944	9334001	+
chr1	9338351	9340537	+
chr1	9350572	9352800	+
chr1	9355030	9359451	-
chr1	9378064	9378966	+
chr1	9389889	9391639	+
chr1	9392847	9407368	-
chr1	9411787	9414744	-
chr1	9422997	9423736	-
chr1	9442333	9442605	+
chr1	9468417	9476059	+
chr1	9480557	9482347	-
chr1	9486831	9487238	+
chr1	9497987	9498181	-
chr1	9532972	9534201	+
chr1	9534572	9534925	+
chr1	9546103	9548291	+
chr1	9548905	9553042	-
chr1	9555761	9559666	-
chr1	9574747	9575955	+
chr1	9581266	9581944	+
chr1	9606712	9607795	-
chr1	9619542	9620996	-
chr1	9622635	9622805	+
chr1	9641176	9644355	+
chr1	9647443	9650138	-
chr1	9655155	9662898	+
chr1	9665747	9666053	+
chr1	9668393	9672447	+
chr1	9675352	9675662	+
chr1	9677335	9680792	+
chr1	9682437	9683546	-
chr1	9690680	9692497	-
chr1	9701259	9704012	+
chr1	9704337	9718379	-
chr1	9726242	9726616	-
chr1	9732627	9735580	+
chr1	9738566	9738859	+
chr1	9756802	9757233	+
chr1	9764323	9764541	+
chr1	9766650	9767187	+
chr1	9770496	9770914	+
chr1	9780795	9781457	+
chr1	9788117	9791812	-
chr1	9801172	9801707	+
chr1	9802908	9804003	+
chr1	9840924	9855663	-
chr1	9875235	9875537	-
chr1	9881151	9882086	-
chr1	9910863	9911775	-
chr1	9914264	9915038	+
chr1	9914917	9920069	-
chr1	9925326	9926575	-
chr1	9928700	9931747	-
chr1	9946702	9948440	+
chr1	9952700	9953244	+
chr1	9954457	9955003	-
chr1	9961899	9963287	+
chr1	9970873	9971469	-
chr1	9992670	9993027	+
chr1	9997227	9998719	+
chr1	10000250	10000584	+
chr1	10002868	10003149	-
chr1	10007882	10008419	+
chr1	10013068	10015749	-
chr1	10027097	10035497	+
chr1	10066388	10072792	+
chr1	10091569	10093535	+
chr1	10180347	10182420	-
chr1	10184981	10185775	-
chr1	10194059	10198520	-
chr1	10211793	10212161	-
chr1	10224720	10228384	-
chr1	10230900	10231736	+
chr1	10248951	10249391	+
chr1	10249471	10249770	-
chr1	10261320	10263717	+
chr1	10289328	10289592	+
chr1	10291846	10292139	+
chr1	10292656	10297382	+
chr1	10310799	10311425	-
chr1	10320472	10324426	-
chr1	10346242	10349891	+
chr1	10376443	10384275	+
chr1	10391038	10392540	-
chr1	10403405	10403888	+
chr1	10443411	10448442	-
chr1	10451155	10452651	+
chr1	10461452	10462959	-
chr1	10464810	10465294	-
chr1	10467718	10468965	-
chr1	10479941	10480340	-
chr1	10490208	10493101	-
chr1	10502721	10504230	-
chr1	10553905	10554153	+
chr1	10666585	10667660	+
chr1	10672825	10673016	-
chr1	10692612	10692870	-
chr1	10717394	10719445	+
chr1	10737644	10737908	+
chr1	10740353	10742723	+
chr1	10743677	10746680	+
chr1	10751935	10753863	+
chr1	10763583	10766852	-
chr1	10777891	10779250	-
chr1	10789270	10789527	+
chr1	10795004	10797921	+
chr1	10812291	10815950	+
chr1	10818017	10819768	-
chr1	10829808	10832735	-
chr1	10902466	10904783	+
chr1	10908396	10909780	-
chr1	10915235	10916259	+
chr1	10916993	10917803	+
chr1	10918250	10921996	+
chr1	10923313	10924599	+
chr1	11079420	11079623	-
chr1	11154276	11156842	+
chr1	11159414	11169879	+
chr1	11173570	11184325	+
chr1	11186743	11187845	+
chr1	11248906	11249145	-
chr1	11279196	11293592	-
chr1	11282906	11283143	+
chr1	11290099	11290541	+
chr1	11335338	11343340	+
chr1	11347447	11352362	+
chr1	11362380	11366240	-
chr1	11392757	11397520	-
chr1	11426731	11435525	-
chr1	11437847	11439032	-
chr1	11451318	11452390	-
chr1	11455624	11459838	-
chr1	11528728	11532536	-
chr1	11552276	11555721	-
chr1	11566562	11566978	-
chr1	11588616	11588976	+
chr1	11603102	11607222	+
chr1	11634978	11637877	+
chr1	11641007	11641794	+
chr1	11646254	11646598	-
chr1	11669166	11672626	+
chr1	11688730	11689272	-
chr1	11698807	11706391	-
chr1	11720970	11723800	-
chr1	11729456	11734420	+
chr1	11736345	11740511	+
chr1	11767607	11768882	+
chr1	11777055	11780912	-
chr1	11808259	11809019	+
chr1	11856718	11857173	-
chr1	11857926	11858859	-
chr1	11907250	11907579	+
chr1	11919141	11920214	+
chr1	11920758	11920943	-
chr1	11924278	11924484	-
chr1	11927982	11928964	+
chr1	11949991	11950475	-
chr1	11969039	11969298	+
chr1	11970290	11970953	+
chr1	11971165	11977446	-
chr1	11980702	11983657	-
chr1	12002828	12003543	-
chr1	12062255	12064400	-
chr1	12099833	12102435	-
chr1	12103442	12115317	-
chr1	12116928	12117686	-
chr1	12149616	12156980	-
chr1	12180733	12188389	+
chr1	12194941	12197260	+
chr1	12197499	12197800	+
chr1	12200826	12201695	-
chr1	12240455	12251142	-
chr1	12255070	12256241	+
chr1	12264348	12266362	+
chr1	12272819	12275350	-
chr1	12283512	12284075	-
chr1	12305985	12307085	+
chr1	12312091	12314319	+
chr1	12318970	12320612	+
chr1	12342643	12343230	+
chr1	12348290	12348802	-
chr1	12372816	12373778	+
chr1	12375278	12376014	+
chr1	12376527	12377984	-
chr1	12380896	12381684	-
chr1	12398370	12398927	+
chr1	12400268	12403532	-
chr1	12410457	12412104	-
chr1	12417167	12420215	-
chr1	12434868	12435365	+
chr1	12448260	12450298	+
chr1	12482788	12484539	+
chr1	12490992	12493324	-
chr1	12534874	12536422	-
chr1	12556945	12558093	+
chr1	12579413	12579891	+
chr1	12582679	12584103	-
chr1	12615233	12618967	-
chr1	12623373	12624028	-
chr1	12625533	12627892	-
chr1	12635419	12637212	-
chr1	12664111	12664388	+
chr1	12666066	12669895	-
chr1	12690434	12691082	-
chr1	12694568	12695473	+
chr1	12708341	12709245	+
chr1	12718346	12718779	+
chr1	12729658	12731322	-
chr1	12741472	12742774	-
chr1	12753149	12753589	-
chr1	12759533	12766943	-
chr1	12770061	12770261	-
chr1	12770823	12772926	-
chr1	12776893	12780428	-
chr1	12783228	12784906	-
chr1	12785449	12786287	+
chr1	12787775	12790338	-
chr1	12793111	12794804	-
chr1	12809877	12812736	+
chr1	12815020	12815322	-
chr1	12826211	12828302	+
chr1	12831062	12831518	+
chr1	12837714	12837992	+
chr1	12850177	12852207	+
chr1	12859114	12859961	+
chr1	12873677	12875893	-
chr1	12884723	12898869	-
chr1	12899444	12912387	-
chr1	12915271	12918207	-
chr1	12945913	12946704	+
chr1	12960935	12961723	+
chr1	12984723	12985529	+
chr1	13001227	13005266	-
chr1	13039083	13040123	-
chr1	13043845	13046345	-
chr1	13059763	13060218	-
chr1	13062217	13062527	-
chr1	13069492	13078595	-
chr1	13080681	13088479	-
chr1	13091301	13092428	+
chr1	13094202	13094474	-
chr1	13095341	13095618	-
chr1	13096258	13096841	-
chr1	13098030	13098377	+
chr1	13099173	13100673	-
chr1	13106115	13107616	-
chr1	13110294	13111000	+
chr1	13115456	13117357	+
chr1	13127602	13128122	-
chr1	13163302	13167871	-
chr1	13170497	13172427	-
chr1	13173697	13177245	-
chr1	13179172	13180299	+
chr1	13182070	13182342	-
chr1	13184031	13184712	-
chr1	13185904	13188038	-
chr1	13198764	13199497	-
chr1	13203812	13207478	+
chr1	13211794	13218314	-
chr1	13219782	13220831	+
chr1	13226129	13228056	+
chr1	13238190	13239207	-
chr1	13251876	13252166	+
chr1	13254943	13255191	+
chr1	13257356	13261657	+
chr1	13266540	13266962	+
chr1	13284294	13285370	+
chr1	13299023	13299401	+
chr1	13302185	13304321	+
chr1	13316671	13316931	+
chr1	13317924	13320867	+
chr1	13332767	13336577	+
chr1	13342225	13343698	-
chr1	13358663	13361038	+
chr1	13366735	13369360	-
chr1	13378520	13381562	+
chr1	13395838	13396260	+
chr1	13402699	13403540	-
chr1	13409042	13409907	-
chr1	13414556	13417025	-
chr1	13424805	13425346	+
chr1	13433912	13434454	+
chr1	13440746	13450931	-
chr1	13463915	13466246	+
chr1	13470208	13471062	-
chr1	13475723	13476034	-
chr1	13480044	13480985	-
chr1	13483380	13484756	+
chr1	13487919	13488803	-
chr1	13489913	13490155	-
chr1	13491209	13493332	+
chr1	13495056	13495675	+
chr1	13496760	13497683	+
chr1	13502174	13503124	-
chr1	13509574	13512309	+
chr1	13519604	13520356	-
chr1	13530424	13533590	+
chr1	13536329	13536769	+
chr1	13548698	13554401	-
chr1	13562366	13563107	+
chr1	13563753	13564977	+
chr1	13568754	13569310	+
chr1	13572375	13572614	+
chr1	13574912	13575834	-
chr1	13577109	13577408	+
chr1	13579667	13584102	-
chr1	13586839	13587279	-
chr1	13589502	13590101	-
chr1	13601250	13601513	+
chr1	13608532	13608990	-
chr1	13616298	13622701	-
chr1	13627025	13627544	+
chr1	13637400	13639777	+
chr1	13643878	13647921	+
chr1	13651092	13651715	+
chr1	13653332	13653879	+
chr1	13655693	13660646	+
chr1	13663955	13664475	+
chr1	13673520	13674525	+
chr1	13676371	13676898	+
chr1	13678903	13681556	-
chr1	13686811	13689364	-
chr1	13690747	13691514	-
chr1	13697328	13697755	-
chr1	13699828	13702077	-
chr1	13708629	13710812	-
chr1	13715078	13715324	+
chr1	13728359	13730996	+
chr1	13739764	13742730	+
chr1	13756336	13757969	+
chr1	13774488	13774688	-
chr1	13781630	13782571	-
chr1	13793845	13800108	-
chr1	13801213	13807315	+
chr1	13809430	13812813	-
chr1	13823529	13825853	-
chr1	13829439	13832802	+
chr1	13835892	13836185	+
chr1	13840934	13845654	+
chr1	13847012	13847410	-
chr1	13848253	13850065	-
chr1	13852516	13852728	-
chr1	13863862	13865566	+
chr1	13867469	13871286	+
chr1	13881364	13884348	+
chr1	13884758	13886157	-
chr1	13890302	13895346	+
chr1	13896758	13896931	-
chr1	13911633	13913477	-
chr1	13920578	13924797	-
chr1	13930036	13930299	-
chr1	13932860	13933469	+
chr1	13933633	13937526	-
chr1	13939549	13941147	+
chr1	13941462	13943273	-
chr1	13944316	13951313	-
chr1	13953887	13955211	-
chr1	13958142	13958381	-
chr1	13960696	13960953	-
chr1	13962646	13962912	+
chr1	13967685	13968967	+
chr1	13975151	13976233	+
chr1	13981126	13985528	+
chr1	13996555	13996976	+
chr1	13998282	13998626	+
chr1	14018400	14020481	+
chr1	14022608	14024384	+
chr1	14025832	14028107	-
chr1	14034590	14034919	-
chr1	14040763	14044542	+
chr1	14045688	14055140	-
chr1	14058129	14059561	+
chr1	14090074	14090256	+
chr1	14096879	14097110	-
chr1	14110174	14110530	-
chr1	14115357	14115587	-
chr1	14135113	14136221	-
chr1	14138122	14138832	-
chr1	14140292	14142965	+
chr1	14153783	14155545	+
chr1	14160427	14163079	+
chr1	14168884	14173587	+
chr1	14175886	14177385	-
chr1	14180677	14181442	-
chr1	14185867	14190008	-
chr1	14194663	14198716	-
chr1	14200633	14201676	-
chr1	14203354	14207482	-
chr1	14208756	14211054	+
chr1	14213491	14213753	+
chr1	14215556	14217095	+
chr1	14217348	14220335	-
chr1	14221185	14222388	+
chr1	14227842	14230023	-
chr1	14235093	14240359	-
chr1	14242413	14245382	+
chr1	14245711	14248820	-
chr1	14250847	14253706	-
chr1	14259387	14259959	+
chr1	14270294	14272526	-
chr1	14280628	14281940	-
chr1	14282417	14283263	-
chr1	14283920	14286574	+
chr1	14286714	14291272	-
chr1	14296447	14296845	+
chr1	14302787	14304381	+
chr1	14308119	14310197	+
chr1	14311666	14314257	-
chr1	14317424	14322145	+
chr1	14323020	14324395	+
chr1	14326789	14328387	+
chr1	14337693	14339126	+
chr1	14342408	14342692	+
chr1	14344797	14346406	+
chr1	14362406	14364014	+
chr1	14367948	14369443	-
chr1	14412586	14412852	+
chr1	14414799	14444615	-
chr1	14444997	14446175	-
chr1	14450135	14465419	-
chr1	14470015	14475730	-
chr1	14476204	14481202	-
chr1	14483996	14486301	+
chr1	14487175	14489769	+
chr1	14491720	14492713	-
chr1	14494780	14506099	-
chr1	14498953	14499931	-
chr1	14507423	14509801	-
chr1	14512491	14514536	+
chr1	14516374	14518306	-
chr1	14520752	14524112	+
chr1	14532211	14532624	+
chr1	14538189	14539103	+
chr1	14542224	14542382	+
chr1	14545585	14547518	-
chr1	14548775	14553250	-
chr1	14557346	14561548	+
chr1	14571962	14574102	+
chr1	14579002	14585999	-
chr1	14593481	14594676	-
chr1	14604382	14605463	-
chr1	14611211	14611680	-
chr1	14613338	14613499	+
chr1	14613720	14614741	-
chr1	14622152	14623494	+
chr1	14629849	14630234	-
chr1	14643998	14644350	-
chr1	14654174	14656742	-
chr1	14666598	14666949	-
chr1	14680219	14685084	+
chr1	14688583	14689440	-
chr1	14697849	14699184	+
chr1	14700376	14707251	-
chr1	14715895	14717167	+
chr1	14718958	14724135	-
chr1	14725491	14728626	-
chr1	14730183	14732998	-
chr1	14750634	14750921	+
chr1	14755879	14759230	-
chr1	14761323	14763748	+
chr1	14764394	14775495	-
chr1	14780124	14785214	+
chr1	14786115	14788233	+
chr1	14788896	14800472	+
chr1	14806528	14815436	-
chr1	14822234	14823404	+
chr1	14824242	14826665	-
chr1	14829524	14856387	+
chr1	14857379	14859117	-
chr1	14865729	14866792	+
chr1	14867952	14874528	-
chr1	14876919	14879497	-
chr1	14881370	14883417	+
chr1	14883906	14888374	+
chr1	14890147	14893918	+
chr1	14894167	14897655	-
chr1	14900847	14908456	+
chr1	14913397	14915213	+
chr1	14924874	14926717	-
chr1	14931364	14932830	+
chr1	14937061	14938289	+
chr1	14940596	14942973	-
chr1	14948319	14950661	+
chr1	14950925	14955724	-
chr1	14958273	14962917	-
chr1	14967208	14973205	-
chr1	14974874	14975110	-
chr1	14976595	14977466	+
chr1	14978427	14979822	+
chr1	14985230	14986809	-
chr1	14987131	14989393	+
chr1	14992331	14994671	-
chr1	15003267	15004718	-
chr1	15006947	15008008	+
chr1	15009052	15010362	-
chr1	15011581	15013508	+
chr1	15015478	15024685	+
chr1	15028368	15032012	-
chr1	15034173	15034541	-
chr1	15039061	15041490	+
chr1	15044818	15046823	-
chr1	15050972	15054244	+
chr1	15054735	15055290	+
chr1	15057796	15059943	+
chr1	15061139	15063099	-
chr1	15073009	15074186	-
chr1	15074834	15076223	-
chr1	15077374	15079862	+
chr1	15080730	15088365	-
chr1	15089240	15091263	-
chr1	15097075	15098868	+
chr1	15102122	15107176	+
chr1	15109101	15109292	+
chr1	15110486	15112813	-
chr1	15122240	15126509	+
chr1	15127815	15131721	-
chr1	15136130	15136524	-
chr1	15136884	15140019	-
chr1	15152942	15154391	+
chr1	15155209	15155903	-
chr1	15158406	15162518	-
chr1	15162888	15166721	+
chr1	15169224	15169915	+
chr1	15170845	15172163	-
chr1	15174142	15175062	+
chr1	15175918	15176230	-
chr1	15178526	15180730	-
chr1	15181714	15184357	-
chr1	15186638	15188838	-
chr1	15190966	15191517	-
chr1	15197653	15199209	+
chr1	15219978	15222407	+
chr1	15226703	15229583	-
chr1	15231531	15231977	-
